@100,15122013,13122014,0460,IFF uit RITS                  
RESV,4   ,Reserveren verplicht          
SPEC,1   ,Speciaal ticket vereist       
T   ,1   ,Toeslag                       
RESA,4   ,Reserveren buitenl. aanbevolen
TWEE,4   ,alleen 2e klas                
REST,4   ,Restauratie                   
BAR ,4   ,Bar/Buffet                    
BIST,4   ,Bistro                        
GAVR,1   ,Geen AVR-NS                   
FIET,4   ,Fietsvervoer mogelijk         
KOPS,4   ,Warme en koude dranken        
ROL ,4   ,Rolstoelplaatsen              
LIGW,4   ,Ligwagen                      
SLP ,4   ,Slaapwagen                    
TELE,4   ,Telefoon                      
EEN ,4   ,alleen 1e klas                
NIIN,7   ,Niet instappen voor reizigers 
NUIT,6   ,Niet uitstappen voor reizigers
XXX1,4   ,1 dag voor de dienstregeling  
XXX2,4   ,2 dagen voor de dienstregeling
TAR ,4   ,AfwijkendTarief               
FINI,4   ,Fiets meenemen niet mogelijk  
RESM,4   ,Reserveren mogelijk           
OO  ,4   ,Voraussichtlich stark ausgel. 
SPRZ,4   ,Sprinter zonder toilet        
GEFI,4   ,Geen fietsen tot 14 maart 2014
TSB ,4   ,Toeslag Schiphol - Breda      
TSR ,4   ,Toeslag Schiphol-Rotterdam vv 
IRES,4   ,Int. reserveren verplicht     
TSS ,4   ,Toeslag Rotterdam - Schiphol  
